analysis_group,metric_1,metric_2,complete_pairs_n,spearman_rho,p_value,mathematical_overlap,holm_p_value,holm_reject_0_05
Ocean Culture,comments,saves,93,0.26384516407470576,0.010604395974560088,False,0.05302197987280044,False
Ocean Culture,comments,follows,91,0.4151520878399143,4.280016774052858e-05,False,0.0007041988518009571,True
Ocean Culture,comments,total_interactions,93,0.31720812677097054,0.0019476737638291735,True,0.02142441140212091,True
Ocean Culture,saves,follows,91,0.5875016422868845,9.256606050765395e-10,False,2.1290193916760408e-08,True
Ocean Culture,saves,total_interactions,93,0.28459023004317774,0.005696003715663262,True,0.03795595316893722,True
Ocean Culture,follows,total_interactions,91,0.4352786783321656,1.6183170046419485e-05,False,0.00030748023088197023,True
PsicoCampus,views,reach,94,0.929821711557879,1.0206191172411816e-41,False,2.7556716165511905e-40,True
PsicoCampus,views,likes,94,0.7826037700320152,1.2149583552946147e-20,False,3.037395888236537e-19,True
PsicoCampus,views,shares,94,0.5554399445342114,6.229688828119076e-09,False,1.308234653905006e-07,True
PsicoCampus,views,comments,94,0.20797246656449858,0.044279049031486405,False,0.23241240396274304,False
PsicoCampus,views,saves,94,0.32589343924389874,0.001348924529351945,False,0.017536018881575285,True
PsicoCampus,views,follows,94,0.3759771210293251,0.00018812214610112782,False,0.002821832191516917,True
PsicoCampus,views,total_interactions,94,0.7975912530989051,6.558605000953937e-22,False,1.7052373002480236e-20,True
PsicoCampus,reach,likes,94,0.692776307091292,1.0277723248686087e-14,False,2.3638763471978e-13,True
PsicoCampus,reach,shares,94,0.5393437518576519,2.0377638642166597e-08,False,4.0755277284333196e-07,True
PsicoCampus,reach,comments,94,0.08146158518403471,0.43507876733664497,False,1.0,False
PsicoCampus,reach,saves,94,0.3083947425871062,0.0024940351555058408,False,0.02517473076806824,True
PsicoCampus,reach,follows,94,0.34463127439834845,0.000670293331399628,False,0.009384106639594792,True
PsicoCampus,reach,total_interactions,94,0.6996711606190128,4.3204378587166614e-15,False,1.0369050860919987e-13,True
PsicoCampus,likes,shares,94,0.5101708825449087,1.5001111573070337e-07,False,2.8502111988833643e-06,True
PsicoCampus,likes,comments,94,0.23001110542176498,0.025734491502084084,False,0.19182687547850147,False
PsicoCampus,likes,saves,94,0.21358440648321292,0.03873540066045717,False,0.23241240396274304,False
PsicoCampus,likes,follows,94,0.3899799472561944,0.0001021529602320944,False,0.0018387532841776994,True
PsicoCampus,likes,total_interactions,94,0.9919977322190763,1.7273042659323955e-84,True,4.8364519446107076e-83,True
PsicoCampus,shares,comments,94,0.2781716963547858,0.006633785016671258,False,0.05970406515004132,False
PsicoCampus,shares,saves,94,0.38125039730497207,0.0001499584476142349,False,0.0023993351618277585,True
PsicoCampus,shares,follows,94,0.31342528839679573,0.0020978942306723535,False,0.02517473076806824,True
PsicoCampus,shares,total_interactions,94,0.5746173888085555,1.3947088004149573e-09,True,3.068359360912906e-08,True
PsicoCampus,comments,saves,94,0.10455751106514675,0.31590367490881355,False,1.0,False
PsicoCampus,comments,follows,94,0.11603387859422763,0.26540592115162964,False,1.0,False
PsicoCampus,comments,total_interactions,94,0.3114903423049617,0.0022430024240893366,True,0.02517473076806824,True
PsicoCampus,saves,follows,94,0.08899989969063996,0.39363978260471055,False,1.0,False
PsicoCampus,saves,total_interactions,94,0.23274747890503328,0.023978359434812684,True,0.19182687547850147,False
PsicoCampus,follows,total_interactions,94,0.38831152384790485,0.00011002129056477757,False,0.0018703619396012187,True
